subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15
h.nakamura,1,0,-1.1339977,0.11108114,0.13858569,-0.021007232,-0.95327055,-0.70755005,-1.0929799,-0.4460979,-1.0189726,0.9830331,0.14757496,-0.39941463,-0.06347329,0.48062325,0.58744764,-0.39728078,0.23561914,-0.4953153,-0.15384546,0.19126098,0.08837421,0.053916514,0.21749635,-0.2811551,0.778262,-0.25038958,0.12590122,-0.26635122
h.nakamura,1,0,0.37695575,0.29420817,-0.94009984,-0.079776466,-0.41024244,-0.5739083,0.9005342,-0.0017620474,-0.74242103,-0.4023301,0.29827172,-2.3919291,0.38994864,0.5852357,-0.4518097,0.67183834,-0.23162888,0.13702582,-0.010346001,-0.26798508,0.3937577,0.59833694,-0.30253652,-0.57747054,-0.08613112,-0.085316,0.014384711,-0.4139186
h.nakamura,1,0,-1.1113002,0.3396781,0.46960193,0.31014797,0.19774754,0.36629456,-0.8185537,-0.46095037,-0.6465752,-0.5959375,0.23431908,0.005484432,0.32797503,-0.20126434,0.27077433,-0.49428377,-0.2928734,-0.1119359,0.33566272,-0.0013740212,-0.46298695,-0.19283311,-0.24011248,1.3083444,-0.23796225,-0.7871275,0.24452914,-0.8508713
h.nakamura,1,0,-1.2467158,-0.019999333,-0.9313504,0.10969095,0.15706989,1.326673,-0.14306451,1.142024,-2.239439,0.66048914,0.54343385,-0.14573207,0.8743223,0.28784513,0.49146327,-0.49470374,-0.6392609,-0.078331426,-0.41033974,0.41974244,-0.10756726,-0.29675385,-0.02574405,0.29118022,0.2934074,0.43553334,-0.012915816,0.6885118
h.nakamura,1,0,1.5439005,-0.029187277,0.8956439,-1.2877657,0.98424137,0.5054933,0.42542163,0.594936,-0.82734835,0.72692317,-0.12508863,1.7083664,-0.12926233,0.49432743,-0.10057886,0.12753165,0.28007302,0.06985943,0.13574256,-0.17541328,0.10662249,-0.12148464,-0.39449972,-0.52309823,0.23066166,-0.048112057,0.2284785,0.3723778
h.nakamura,1,0,0.13324396,0.055231817,-0.53825605,-1.0028011,-0.70405346,-1.2191097,0.72185504,0.79596466,-1.1209366,1.6844002,-0.28553247,0.8658688,1.0449134,0.1739466,-0.011386141,-0.088929914,0.8094498,-0.100824825,0.4362143,-0.34456795,-0.29083776,-0.7568163,0.5359667,0.18983571,-0.6230952,0.15177688,0.51546264,0.50720716
h.nakamura,1,0,-0.76979554,-0.61970174,1.1092799,0.8853854,-1.9154305,0.8708837,0.06916956,0.43418378,0.87575793,0.22409728,1.9564197,-0.25994498,0.73703307,0.1627676,0.046765357,-0.2048857,0.1479934,-0.7341057,0.05322147,-0.3514921,0.20430107,-0.124680154,0.20835719,0.048783645,-0.48196372,0.46754044,-0.2899864,-0.044259086
h.nakamura,1,0,-0.43402338,0.7684139,0.58501977,0.19167106,0.25451574,0.5564369,-0.1312303,1.7755368,0.05634781,0.5256065,1.141349,1.1079769,0.09134027,0.19291572,-0.22614324,0.2701756,-0.24475051,-0.033446603,-0.1581943,0.061837614,-0.14352122,0.13889739,0.095952764,-0.172834,0.25552472,0.1399811,-0.16120335,0.46901274
h.nakamura,1,0,1.2968893,1.2981721,-0.6378612,-0.49321407,0.5612147,0.7816762,0.071525864,-1.1659878,-0.44596586,-1.3951247,0.042664625,-1.3223323,-0.43121102,0.62090456,0.33499768,0.13220346,0.05165478,-0.19786735,-0.05078557,-0.40469986,0.44719237,-0.12270323,-0.56792253,-0.031369507,0.096100554,0.34865785,-0.39544284,0.044503823
h.nakamura,1,0,0.25853887,0.63250375,-0.9162541,0.76241946,-0.2013321,0.5659221,-0.77630776,-1.5303394,0.26269192,-0.6681686,-1.9118506,-0.23599291,0.35016453,-0.24330062,-0.22682814,-0.6842086,-0.5464855,-0.21956241,-0.16628598,0.19504681,0.41308588,0.36707926,-0.11187734,-0.13257779,-0.17207986,-0.05087296,0.4905638,0.1342516
h.nakamura,1,0,-1.8546951,0.6873595,1.0937772,-0.12692031,0.9336356,-0.8349759,1.1590304,-0.018281773,-1.2851187,-0.4573983,-0.41427672,-0.56544834,0.21325786,-0.5596721,-0.43742728,0.16814043,-0.4152831,-0.7393259,-0.73883754,0.4047209,0.31875393,-0.4209353,0.19764943,0.45230067,-0.37181127,-0.112501346,-0.33611366,0.33482644
h.nakamura,1,0,0.9837153,0.021106482,0.09659767,0.16974081,0.4665851,-0.58724844,-0.5194769,-0.49093232,-0.079900414,-0.14089194,-0.25360584,0.59714293,0.28848067,-0.4805214,0.8749379,-0.41421837,0.22511749,0.22094648,0.50418067,0.59938705,-0.25658265,-0.19451448,-0.034415517,-0.11987504,0.2683276,0.07554826,0.09629834,0.5592426
h.nakamura,1,0,0.005721152,-1.5879152,-0.7548751,1.0927519,-0.63624954,0.11931583,-0.92867124,-0.68815434,0.08624232,0.8102899,-1.7494113,-0.5062417,0.15223962,-0.77337956,-0.21168451,-0.27325147,0.051809825,-0.52383167,-0.16853414,0.50317407,0.62667865,0.13991572,0.37452483,0.42292517,0.053404413,-0.362885,-0.5205126,0.597056
